========================================================================
  PRESSCO21 품절/미진열 상품 리포트 (수정본)
  생성일: 2026-04-03
  판별 기준: options.basic[].sto_state_code = SOLDOUT/STOP
========================================================================

  ■ 진열중 전체 상품:  4,693개
  ■ 판매중 (SALE):     4,271개
  ■ 실제 품절:           422개  ← 이 리스트
    - 개인결제건:          1개 (무시)
    - 일반 상품:           421개 ← 확인 필요

========================================================================
  [품절 상품 — 대분류별]
  → 잘못 품절된 상품은 라이브 전환하세요!
========================================================================

▶ 기타 — 47개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      355233        960원  [레진공예]몰드/타원 [강사공간]
      355234        960원  [레진공예]몰드/물방울 [강사공간]

▶ 도자기 — 9개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
         852     13,000원  항아리머그2p/도자기 [압화]
        4821     10,400원  항아리머그2p/도자기 [강사공간]
        1317      7,000원  3단 다용도함(한정수량) [압화]
      335845      6,500원  도자기/천사 [드라이&프리저브드 플라]
        1551      6,000원  도자기/원형장식접시2p/中/반제품 [압화]
        4795      5,600원  3단 다용도함(한정수량) [강사공간]
      335733      5,000원  도자기/나뭇잎새 [드라이&프리저브드 플라]
        4812      4,800원  도자기/원형장식접시2p/中/반제품 [강사공간]
      335842      3,000원  도자기/원형접시 [드라이&프리저브드 플라]

▶ 귀걸이 — 9개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
        3049     13,000원  별귀걸이 [압화]
        4653     11,000원  별귀걸이 [강사공간]
      300263      7,000원  사과큐빅귀걸이 [압화]
      300274      5,600원  사과큐빅귀걸이 [강사공간]
      300266      4,500원  자개나비귀걸이 [압화]
      300269      4,500원  자개직사각귀걸이 [압화]
      300277      3,600원  자개나비귀걸이 [강사공간]
      308853      3,000원  하트자개귀걸이/화이트 [압화]
      308875      2,400원  하트자개귀걸이/화이트 [강사공간]

▶ 시트지 — 8개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      136275     12,000원  (TD시트) 야채와 과일 A [압화]
      136258     12,000원  (TD시트) 조개 A [압화]
      136257     12,000원  (TD시트) 장미모음 A [압화]
      136256     12,000원  (TD시트) 나비와 곤충 A [압화]
      136127     12,000원  (TD시트) 클로버외 모음 A [압화]
      135855     12,000원  (TD시트) 나비 A [압화]
      135680     12,000원  (TD시트) 클로버 A [압화]
      135677     12,000원  (TD시트) 동백 A [압화]

▶ 액자 — 7개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
    11700622     55,000원  웨딩액자 모음전(대량구매) [강사공간]
      335744     28,000원  PF내츄럴액자/직사각형/사랑합니다 [드라이&프리저브드 플라]
      335745     20,000원  PF교회용액자/직사각형/소/사랑하는자여 [드라이&프리저브드 플라]
      291050     19,200원  36액자/그린블랙 [강사공간]
      203925     10,000원  21액자/화이트 [강사공간]
    11628936      5,400원  냉장고자석액자/정사각/2p [강사공간]
    11699812      5,200원  웨딩액자 모음전(방문수령) [강사공간]

▶ 1000p(대용량) — 7개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
    11604906    234,000원  미니장미/B형/1000pcs [강사공간]
    11602975    158,400원  마가렛/A형/노랑/1000pcs [강사공간]
    11602973    158,400원  마가렛/A형/연노랑/1000pcs [강사공간]
    11602956    158,400원  마가렛/B형/형광보라/1000pcs [강사공간]
    11602994     90,000원  당송아/노랑/500pcs [강사공간]
    11602943     72,000원  미니안개/노랑/착색/500pcs [강사공간]
    11602941     72,000원  미니안개/빨강/착색/500pcs [강사공간]

▶ 모음전 — 6개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      343817     31,500원  프리저브드/장미(라일락PR650-64)16 [드라이&프리저브드 플라]
      335688     28,000원  프리저브드/장미(다즐링블루LM160-78)16 [드라이&프리저브드 플라]
      335637     25,200원  프리저브드/장미(마들렌핑크PR600-69)3 [드라이&프리저브드 플라]
    11700757     14,000원  프리저브드_유칼립투스모음전 [드라이&프리저브드 플라]
    11700005     14,000원  프리저브드_노단새(화이트/핑크) [드라이&프리저브드 플라]
    11699996      3,500원  프리저브드_수국모음전 [드라이&프리저브드 플라]

▶ 초록계열 — 5개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
    11697295      4,050원  공작고사리 [강사공간]
     1155044      3,600원  겹수국/녹색/자연 [강사공간]
    11700809      3,150원  비단풀 [강사공간]
    11699836      3,150원  알장미잎/소 [강사공간]
    11699834      3,150원  작은잎물통이 [강사공간]

▶ 압화 잎 — 5개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
    11697294      4,500원  공작고사리 [압화]
     1156263      4,000원  [압화]모시잎/특大 [압화]
    11699835      3,500원  알장미잎/소 [압화]
    11699833      3,500원  작은잎물통이 [압화]
    11698766      3,200원  공조팝잎 [압화]

▶ 반재료 — 5개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      364878      6,000원  미니고둥/갈색/100pcs [레진공예]
      355821      3,000원  [레진공예] 귀걸이/컵형포스트/실버/실리콘클러치/10세트/6mm [레진공예]
      359650      1,200원  [레진아트] 유리볼+꼭지캡세트/신주 [레진공예]
      370304      1,000원  꼬리체인/10개 [레진공예]
      359649      1,000원  꼬리체인/10개 [레진공예]

▶ 압화꽃 — 5개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
      353227     13,000원  [압화]조팝/연두100p [MYPOOL 상품]
      348034     13,000원  [압화]조팝/연두100p [MYPOOL 상품]
      337763      7,800원  [압화]장미줄기 [MYPOOL 상품]
      338444      5,400원  [압화]장미/大/검붉은색 (한정수량) [MYPOOL 상품]
      336077      4,200원  [압화]망사잎/자연색 [MYPOOL 상품]

▶ 노랑계열 — 4개 품절
────────────────────────────────────────────────────────────────────
        상품번호          가격  상품명
  ──────────  ──────────  ────────────────────────────────────────────
    11698344     11,700원  쥐똥나무꽃/노랑/물올림 [강사공간]
    11701302      3,600원  코레옵시스 [강사공간]
    11699683      3,600원  미나리아재비/10p [강사공간]
    11697417      2,700원  당송아/노랑 [강사공간]

