prdNo,prdNm,sellerPrdCd,selStatCd,selStatNm,selPrc,cuponcheck,dscAmtPercnt,cupnDscMthdCd,cupnUseLmtDyYn,cupnIssEndDy,estimated_discounted_price
8236631935,레진 공예 실리콘 몰드 네임택 열쇠고리 5종 세트,,103,판매중,1500,Y,1050,01,Y,9999-12-31 23:59:59.0,450
8236632076,프레스코21 압화 만들기 냉장고자석 액자 정사각형 2개,1014,103,판매중,7000,Y,1000,01,Y,9999-12-31 23:59:59.0,6000
8236632091,드라이 프리저브드 플라워 말린꽃 시들지 않는 꽃 프레스코21 보존화 종합팩 어텀브리즈,,103,판매중,4500,N,,,N,,
8236631559,레진 공예 실리콘 몰드 구몰드 대형 구몰드,,103,판매중,20000,Y,18800,01,Y,9999-12-31 23:59:59.0,1200
8236631599,프레스코21 십자가 액자 만들기세트 압화 말씀액자 기독교 교회 선물 DIY,1014,103,판매중,5500,Y,200,01,Y,9999-12-31 23:59:59.0,5300
8236631477,프레스코21 레진 공예 실리콘 몰드 시계 정사각형 육각형 아치형,,103,판매중,9000,Y,1600,01,Y,9999-12-31 23:59:59.0,7400
8236633931,프레스코21 압화종합팩 프리미엄 레터링시리즈 모음,,107,판매강제종료,15800,Y,,,,,
8236632850,프레스코21 드라이플라워 박스 실리카겔 작업 용기,,107,판매강제종료,36000,Y,,,,,
8236631707,"에폭시레진 크리스탈 투명 레진 공예 재료 2액형 3:1, 1:1",,107,판매강제종료,32000,Y,,,,,
8236627632,하바리움 용기 모음,1022,107,판매강제종료,26000,Y,,,,,
8906661799,드라이 프리저브드 플라워 말린꽃 시들지 않는 꽃 프레스코21 보존화 수국,,103,판매중,3500,N,,,N,,
9273927430,프리저브드플라워/카네이션/로즈/1인용/DIY세트,,103,판매중,9600,N,,,N,,
9273826682,프리저브드/카네이션/레드/대8송이/소12송이,,103,판매중,34000,N,,,N,,
8236636330,프레스코21 압화 만들기 종이필통 무지,,105,판매중지중,4500,Y,1500,01,Y,9999-12-31 23:59:59.0,3000
8236625741,부채 만들기 압화 키트 부채 제작 꾸미기 어린이집 캘리그라피 조개 선녀 한국 꽃부채소,1060,105,판매중지중,3000,Y,1700,01,Y,9999-12-31 23:59:59.0,1300
8236629181,프레스코21 핀셋 모음,,105,판매중지중,19000,Y,18500,01,Y,9999-12-31 23:59:59.0,500
8236629560,프레스코21 투명 1:1 에폭시 레진 70ml 2액형 레진 공예 아트 재료,1277,105,판매중지중,6500,Y,1500,01,Y,9999-12-31 23:59:59.0,5000
8814118038,하바리움 용기 유리 원형돔 우드 유리볼 우드볼 조명돔 조명볼,1022,105,판매중지중,14000,Y,7400,01,Y,9999-12-31 23:59:59.0,6600
8236625687,책갈피 만들기 투명 압화 책갈피 꽃 스티커 다꾸 DIY 프레스코21,,105,판매중지중,5000,Y,1000,01,Y,9999-12-31 23:59:59.0,4000
